profile_id,platform_number,project_name,pi_name,cycle_number,direction,data_centre,dc_reference,data_state_indicator,data_mode,platform_type,float_serial_no,firmware_version,wmo_inst_type,juld,juld_qc,juld_location,latitude,longitude,position_qc,positioning_system,profile_pres_qc,profile_temp_qc,profile_psal_qc,vertical_sampling_scheme,config_mission_number,date,level,pres,pres_adjusted,temp,temp_adjusted,psal,psal_adjusted,pres_adjusted_error,temp_adjusted_error,psal_adjusted_error,pres_qc,pres_adjusted_qc,temp_qc,temp_adjusted_qc,psal_qc,psal_adjusted_qc
0,None,None,None,275,b'A',CS,None,None,b'A',None,None,None,None,25715.199467592407,b'1',25715.2111111111,-59.845,114.695,b'1',None,b'A',b'A',b'A',None,1,2020-05-28 04:47:13,371,746.0,746.3400268554688,1.944000005722046,1.944000005722046,34.71699905395508,34.71699905395508,None,None,None,b'1',b'1',b'1',b'1',b'1',b'1'
0,None,None,None,275,b'A',CS,None,None,b'A',None,None,None,None,25715.199467592407,b'1',25715.2111111111,-59.845,114.695,b'1',None,b'A',b'A',b'A',None,1,2020-05-28 04:47:13,281,566.0,566.3400268554688,1.9819999933242798,1.9819999933242798,34.67300033569336,34.67300033569336,None,None,None,b'1',b'1',b'1',b'1',b'1',b'1'
0,None,None,None,275,b'A',CS,None,None,b'A',None,None,None,None,25715.199467592407,b'1',25715.2111111111,-59.845,114.695,b'1',None,b'A',b'A',b'A',None,1,2020-05-28 04:47:13,282,568.0,568.3400268554688,1.9839999675750732,1.9839999675750732,34.67300033569336,34.67300033569336,None,None,None,b'1',b'1',b'1',b'1',b'1',b'1'
0,None,None,None,275,b'A',CS,None,None,b'A',None,None,None,None,25715.199467592407,b'1',25715.2111111111,-59.845,114.695,b'1',None,b'A',b'A',b'A',None,1,2020-05-28 04:47:13,283,570.0,570.3400268554688,1.9869999885559082,1.9869999885559082,34.67499923706055,34.67499923706055,None,None,None,b'1',b'1',b'1',b'1',b'1',b'1'
0,None,None,None,275,b'A',CS,None,None,b'A',None,None,None,None,25715.199467592407,b'1',25715.2111111111,-59.845,114.695,b'1',None,b'A',b'A',b'A',None,1,2020-05-28 04:47:13,284,572.0,572.3400268554688,1.9889999628067017,1.9889999628067017,34.67599868774414,34.67599868774414,None,None,None,b'1',b'1',b'1',b'1',b'1',b'1'
0,None,None,None,275,b'A',CS,None,None,b'A',None,None,None,None,25715.199467592407,b'1',25715.2111111111,-59.845,114.695,b'1',None,b'A',b'A',b'A',None,1,2020-05-28 04:47:13,285,574.0,574.3400268554688,1.9889999628067017,1.9889999628067017,34.67599868774414,34.67599868774414,None,None,None,b'1',b'1',b'1',b'1',b'1',b'1'
0,None,None,None,275,b'A',CS,None,None,b'A',None,None,None,None,25715.199467592407,b'1',25715.2111111111,-59.845,114.695,b'1',None,b'A',b'A',b'A',None,1,2020-05-28 04:47:13,286,576.0,576.3400268554688,1.9889999628067017,1.9889999628067017,34.67599868774414,34.67599868774414,None,None,None,b'1',b'1',b'1',b'1',b'1',b'1'
0,None,None,None,275,b'A',CS,None,None,b'A',None,None,None,None,25715.199467592407,b'1',25715.2111111111,-59.845,114.695,b'1',None,b'A',b'A',b'A',None,1,2020-05-28 04:47:13,287,578.0,578.3400268554688,1.99399995803833,1.99399995803833,34.678001403808594,34.678001403808594,None,None,None,b'1',b'1',b'1',b'1',b'1',b'1'
0,None,None,None,275,b'A',CS,None,None,b'A',None,None,None,None,25715.199467592407,b'1',25715.2111111111,-59.845,114.695,b'1',None,b'A',b'A',b'A',None,1,2020-05-28 04:47:13,288,580.0,580.3400268554688,2.003000020980835,2.003000020980835,34.68000030517578,34.68000030517578,None,None,None,b'1',b'1',b'1',b'1',b'1',b'1'
0,None,None,None,275,b'A',CS,None,None,b'A',None,None,None,None,25715.199467592407,b'1',25715.2111111111,-59.845,114.695,b'1',None,b'A',b'A',b'A',None,1,2020-05-28 04:47:13,289,582.0,582.3400268554688,2.005000114440918,2.005000114440918,34.680999755859375,34.680999755859375,None,None,None,b'1',b'1',b'1',b'1',b'1',b'1'
